,File_path,Emotion
0,./Audios\Dataset\1001_DFA_ANG_XX.wav,angry
1,./Audios\Dataset\1001_DFA_DIS_XX.wav,disgust
2,./Audios\Dataset\1001_DFA_FEA_XX.wav,fear
3,./Audios\Dataset\1001_DFA_HAP_XX.wav,happy
4,./Audios\Dataset\1001_DFA_NEU_XX.wav,neutral
5,./Audios\Dataset\1001_DFA_SAD_XX.wav,sad
6,./Audios\Dataset\1001_IEO_ANG_HI.wav,angry
7,./Audios\Dataset\1001_IEO_ANG_LO.wav,angry
8,./Audios\Dataset\1001_IEO_ANG_MD.wav,angry
9,./Audios\Dataset\1001_IEO_DIS_HI.wav,disgust
10,./Audios\Dataset\1001_IEO_DIS_LO.wav,disgust
11,./Audios\Dataset\1001_IEO_DIS_MD.wav,disgust
12,./Audios\Dataset\1001_IEO_FEA_HI.wav,fear
13,./Audios\Dataset\1001_IEO_FEA_LO.wav,fear
14,./Audios\Dataset\1001_IEO_FEA_MD.wav,fear
15,./Audios\Dataset\1001_IEO_HAP_HI.wav,happy
16,./Audios\Dataset\1001_IEO_HAP_LO.wav,happy
17,./Audios\Dataset\1001_IEO_HAP_MD.wav,happy
18,./Audios\Dataset\1001_IEO_NEU_XX.wav,neutral
19,./Audios\Dataset\1001_IEO_SAD_HI.wav,sad
20,./Audios\Dataset\1001_IEO_SAD_LO.wav,sad
21,./Audios\Dataset\1001_IEO_SAD_MD.wav,sad
22,./Audios\Dataset\1001_IOM_ANG_XX.wav,angry
23,./Audios\Dataset\1001_IOM_DIS_XX.wav,disgust
24,./Audios\Dataset\1001_IOM_FEA_XX.wav,fear
25,./Audios\Dataset\1001_IOM_HAP_XX.wav,happy
26,./Audios\Dataset\1001_IOM_NEU_XX.wav,neutral
27,./Audios\Dataset\1001_IOM_SAD_XX.wav,sad
28,./Audios\Dataset\1001_ITH_ANG_XX.wav,angry
29,./Audios\Dataset\1001_ITH_DIS_XX.wav,disgust
30,./Audios\Dataset\1001_ITH_FEA_XX.wav,fear
31,./Audios\Dataset\1001_ITH_HAP_XX.wav,happy
32,./Audios\Dataset\1001_ITH_NEU_XX.wav,neutral
33,./Audios\Dataset\1001_ITH_SAD_XX.wav,sad
